source_ensembl	source	target_ensembl	target	ratio
ENSG00000162244	RPL29	ENSG00000102003	SYP	1.19533148212426
ENSG00000137409	MTCH1	ENSG00000127585	FBXL16	1.19421998288811
ENSG00000137409	MTCH1	ENSG00000166710	B2M	1.19386901698405
ENSG00000185883	ATP6V0C	ENSG00000171885	AQP4	1.1934995594581
ENSG00000155980	KIF5A	ENSG00000137409	MTCH1	1.19329853346508
ENSG00000105193	RPS16	ENSG00000171885	AQP4	1.19267699569971
ENSG00000147684	NDUFB9	ENSG00000102003	SYP	1.19168985580572
ENSG00000109971	HSPA8	ENSG00000171885	AQP4	1.1915163524575
ENSG00000110700	RPS13	ENSG00000132475	H3F3B	1.18944539235013
ENSG00000067225	PKM	ENSG00000132475	H3F3B	1.18899430572257
ENSG00000123560	PLP1	ENSG00000132475	H3F3B	1.1889743236325
ENSG00000130522	JUND	ENSG00000106153	CHCHD2	1.18861758154833
ENSG00000132475	H3F3B	ENSG00000110651	CD81	1.18840696364096
ENSG00000127585	FBXL16	ENSG00000145920	CPLX2	1.18816884661118
ENSG00000127585	FBXL16	ENSG00000166136	NDUFB8	1.18764488185774
ENSG00000176340	COX8A	ENSG00000171885	AQP4	1.18747731397459
ENSG00000108298	RPL19	ENSG00000102003	SYP	1.18630604583573
ENSG00000170889	RPS9	ENSG00000149273	RPS3	1.18629268584415
ENSG00000115306	SPTBN1	ENSG00000132475	H3F3B	1.18622428398548
ENSG00000140988	RPS2	ENSG00000130522	JUND	1.18514458955224
ENSG00000110700	RPS13	ENSG00000102003	SYP	1.18443612556112
ENSG00000162244	RPL29	ENSG00000127585	FBXL16	1.18366500829187
ENSG00000168028	RPSA	ENSG00000224078	SNHG14	1.18308335472515
ENSG00000180354	MTURN	ENSG00000197111	PCBP2	1.18297683096147
ENSG00000140988	RPS2	ENSG00000224078	SNHG14	1.18273551596854
ENSG00000110700	RPS13	ENSG00000189403	HMGB1	1.18271272503462
ENSG00000111716	LDHB	ENSG00000224078	SNHG14	1.18229660943836
ENSG00000110700	RPS13	ENSG00000127585	FBXL16	1.18215233735476
ENSG00000170889	RPS9	ENSG00000171885	AQP4	1.1821192663086
ENSG00000102003	SYP	ENSG00000110651	CD81	1.18202565155872
ENSG00000127585	FBXL16	ENSG00000161203	AP2M1	1.18174814188168
ENSG00000111669	TPI1	ENSG00000197111	PCBP2	1.18169691920445
ENSG00000168653	NDUFS5	ENSG00000171885	AQP4	1.18152911249293
ENSG00000166913	YWHAB	ENSG00000102003	SYP	1.18143167808755
ENSG00000102003	SYP	ENSG00000161203	AP2M1	1.18057660914179
ENSG00000168028	RPSA	ENSG00000127585	FBXL16	1.18036559363461
ENSG00000130522	JUND	ENSG00000167468	GPX4	1.17984650610583
ENSG00000127585	FBXL16	ENSG00000171246	NPTX1	1.17970294968671
ENSG00000110700	RPS13	ENSG00000224078	SNHG14	1.17965258453495
ENSG00000167552	TUBA1A	ENSG00000171885	AQP4	1.17965025069981
ENSG00000111669	TPI1	ENSG00000127585	FBXL16	1.1794289422453
ENSG00000161203	AP2M1	ENSG00000171885	AQP4	1.17882538454673
ENSG00000122545	SEPTIN7	ENSG00000115306	SPTBN1	1.17847109717004
ENSG00000197111	PCBP2	ENSG00000125356	NDUFA1	1.17845918132334
ENSG00000168028	RPSA	ENSG00000138814	PPP3CA	1.17837488534979
ENSG00000074317	SNCB	ENSG00000127585	FBXL16	1.17828471279964
ENSG00000111669	TPI1	ENSG00000132475	H3F3B	1.17803521039274
ENSG00000170906	NDUFA3	ENSG00000171885	AQP4	1.17758166969147
ENSG00000148303	RPL7A	ENSG00000102003	SYP	1.17720865370119
ENSG00000105193	RPS16	ENSG00000020129	NCDN	1.17648215366001
ENSG00000132475	H3F3B	ENSG00000104435	STMN2	1.17630161788259
ENSG00000140988	RPS2	ENSG00000127585	FBXL16	1.17620394123134
ENSG00000180354	MTURN	ENSG00000127585	FBXL16	1.17611319270499
ENSG00000125148	MT2A	ENSG00000186010	NDUFA13	1.17601512090204
ENSG00000143947	RPS27A	ENSG00000102003	SYP	1.17599074513526
ENSG00000124614	RPS10	ENSG00000130522	JUND	1.17565143893791
ENSG00000122545	SEPTIN7	ENSG00000224078	SNHG14	1.17533501617904
ENSG00000140319	SRP14	ENSG00000132475	H3F3B	1.17524034631115
ENSG00000168028	RPSA	ENSG00000197111	PCBP2	1.1750565355043
ENSG00000148303	RPL7A	ENSG00000132475	H3F3B	1.17504309876217
ENSG00000123349	PFDN5	ENSG00000127585	FBXL16	1.17476527138742
ENSG00000203879	GDI1	ENSG00000132475	H3F3B	1.17463177533386
ENSG00000142676	RPL11	ENSG00000170889	RPS9	1.1742255458473
ENSG00000138814	PPP3CA	ENSG00000102003	SYP	1.17385636208654
ENSG00000103363	ELOB	ENSG00000171885	AQP4	1.17380765520511
